short-name,Run Type,Percentage
saint-martin-de-belleville,Advanced Runs,26
stevens-pass-resort,Advanced Runs,31
stoneham,Advanced Runs,39
stowe-mountain-resort,Advanced Runs,15
telluride,Advanced Runs,21
thyon-2000,Advanced Runs,56
vail,Advanced Runs,41
val-thorens,Advanced Runs,34
verbier,Advanced Runs,48
veysonnaz,Advanced Runs,54
whistler-blackcomb,Advanced Runs,35
wilmot-mountain,Advanced Runs,33
arapahoe-basin-ski-area,Advanced Runs,49
bear-mountain,Advanced Runs,33
blue-mountain,Advanced Runs,16
boyne-mountain-resort,Advanced Runs,20
brighton-resort,Advanced Runs,
copper-mountain-resort,Advanced Runs,34
crystal-mountain-wa,Advanced Runs,32
cypress-mountain,Advanced Runs,34
deer-valley-resort,Advanced Runs,10
eldora-mountain-resort,Advanced Runs,18
june-mountain,Advanced Runs,28
killington-resort,Advanced Runs,
loon-mountain,Advanced Runs,
mt-bachelor,Advanced Runs,22
mt-buller,Advanced Runs,56
ski-banff-norquay,Advanced Runs,37
panorama-mountain,Advanced Runs,21
snow-summit,Advanced Runs,26
snowshoe-mountain-resort,Advanced Runs,25
solitude-mountain-resort,Advanced Runs,46
steamboat,Advanced Runs,
stratton-mountain,Advanced Runs,
sugarloaf,Advanced Runs,26
sunday-river,Advanced Runs,18
boyne-highlands,Advanced Runs,31
the-summit-at-snoqualmie,Advanced Runs,45
tremblant,Advanced Runs,37
windham-mountain,Advanced Runs,19
winter-park-resort,Advanced Runs,50
alta-ski-area,Expert Runs,
aspen-snowmass,Expert Runs,
big-sky-resort,Expert Runs,18
coronet-peak,Expert Runs,21
jackson-hole,Expert Runs,17
lake-louise,Expert Runs,
mammoth-mountain-ski-area,Expert Runs,13
squaw-valley-usa,Expert Runs,
revelstoke-mountain,Expert Runs,
snowbasin,Expert Runs,9
snowbird,Expert Runs,24
sugarbush,Expert Runs,7
sun-valley,Expert Runs,
sunshine-village,Expert Runs,8
taos-ski-valley,Expert Runs,40
the-remarkables,Expert Runs,40
thredbo-alpine-resort,Expert Runs,
valle-nevado,Expert Runs,12
afton-alps,Expert Runs,
folgaria,Expert Runs,6
andalo-fai-della-paganella,Expert Runs,3
beaver-creek,Expert Runs,8
breckenridge,Expert Runs,28
brides-les-bains,Expert Runs,15
courchevel,Expert Runs,10
crested-butte-mountain-resort,Expert Runs,36
falls-creek-alpine-resort,Expert Runs,
fernie-alpine,Expert Runs,
folgarida-marilleva,Expert Runs,21
heavenly-mountain-resort,Expert Runs,5
keystone,Expert Runs,
kicking-horse,Expert Runs,
kimberley,Expert Runs,
kirkwood,Expert Runs,
la-tania,Expert Runs,10
les-menuires,Expert Runs,10
madonna-di-campiglio,Expert Runs,12
meribel,Expert Runs,11
mont-sainte-anne,Expert Runs,13
monte-bondone,Expert Runs,
mount-sunapee,Expert Runs,13
mount-brighton,Expert Runs,8
mt-hotham,Expert Runs,12
nakiska-ski-area,Expert Runs,5
nendaz,Expert Runs,5
northstar-california,Expert Runs,
okemo-mountain-resort,Expert Runs,9
orelle,Expert Runs,9
park-city-mountain-resort,Expert Runs,23
pejo,Expert Runs,10
perisher,Expert Runs,
pinzolo,Expert Runs,47
pontedilegno-tonale-adamello-ski,Expert Runs,15
saint-martin-de-belleville,Expert Runs,10
stevens-pass-resort,Expert Runs,18
stoneham,Expert Runs,16
stowe-mountain-resort,Expert Runs,15
telluride,Expert Runs,34
thyon-2000,Expert Runs,9
vail,Expert Runs,2
val-thorens,Expert Runs,8
verbier,Expert Runs,21
veysonnaz,Expert Runs,5
whistler-blackcomb,Expert Runs,7
wilmot-mountain,Expert Runs,
arapahoe-basin-ski-area,Expert Runs,24
bear-mountain,Expert Runs,13
blue-mountain,Expert Runs,29
boyne-mountain-resort,Expert Runs,3
brighton-resort,Expert Runs,
copper-mountain-resort,Expert Runs,17
crystal-mountain-wa,Expert Runs,29
cypress-mountain,Expert Runs,20
deer-valley-resort,Expert Runs,32
eldora-mountain-resort,Expert Runs,16
june-mountain,Expert Runs,16
killington-resort,Expert Runs,
loon-mountain,Expert Runs,
mt-bachelor,Expert Runs,3
mt-buller,Expert Runs,
ski-banff-norquay,Expert Runs,
panorama-mountain,Expert Runs,34
snow-summit,Expert Runs,7
snowshoe-mountain-resort,Expert Runs,2
solitude-mountain-resort,Expert Runs,18
steamboat,Expert Runs,
stratton-mountain,Expert Runs,
sugarloaf,Expert Runs,20
sunday-river,Expert Runs,16
boyne-highlands,Expert Runs,2
the-summit-at-snoqualmie,Expert Runs,
tremblant,Expert Runs,13
windham-mountain,Expert Runs,13
winter-park-resort,Expert Runs,4
